,team,season,Opponent,result,home score,away score,AGI,KAGI,Chance create,Total shots,Acc. Shots,Ball possession,Offence CBP,Pass CBP,Capture P,Defence P,Shots on target,Shots by PK,Passes,Acc. passes,Crosses,Acc. Crosses,Direct FK,Indirect FK,CK,throw-ins,Acc. throw-ins,Dribbles,Acc. Dribbles,Tackles,Acc. Tackles,Clearances,Interceptions,Offsides,Yellow cards,Red cards,Entries of 30m line,Entries of Penalty area,Total running distance,Sprints,Attack times
52,y-fm,2016,福岡,0,3,0,49,49,12.9,15,20.0,45.7,12.76,10.61,96.91,16.29,5,0,386,74.6,8,12.5,10,1,6,12,100.0,14,50.0,20,75.0,38,6,1,0,0,32,17,"110,439",151,116
53,y-fm,2016,神戸,0,3,2,61,57,9.8,13,23.1,49.4,15.57,11.95,76.42,9.74,6,1,472,75.6,23,17.4,18,3,4,32,100.0,20,50.0,23,69.6,9,2,4,1,0,49,19,"113,156",194,133
54,y-fm,2016,広島,1,2,2,48,50,16.5,17,11.8,42.3,15.34,11.56,86.83,19.23,8,0,453,85.4,8,37.5,7,1,9,11,90.9,21,47.6,21,85.7,28,6,1,1,0,34,15,"109,757",131,103
55,y-fm,2016,磐田,1,1,1,65,54,15.6,19,5.3,54.4,20.36,15.98,82.54,12.02,3,0,528,80.3,27,18.5,12,1,7,20,100.0,16,50.0,20,70.0,23,4,3,0,0,64,24,"111,305",173,122
56,y-fm,2016,名古屋,1,0,0,60,58,16.1,19,0.0,59.4,20.17,17.05,66.49,11.05,3,0,574,82.6,15,20.0,16,0,7,28,96.4,14,50.0,12,83.3,14,0,1,0,0,59,18,"106,547",152,118
57,y-fm,2016,柏,0,2,1,50,50,13.7,16,6.3,43.1,10.92,6.59,63.62,14.39,4,0,353,69.1,8,0.0,13,2,3,24,95.8,18,66.7,8,75.0,22,3,5,2,0,28,10,"104,690",95,117
58,y-fm,2016,大宮,1,1,1,57,53,8.7,11,9.1,54.8,20.83,13.03,71.97,9.85,3,0,500,81.6,26,34.6,14,1,11,32,96.9,26,42.3,20,70.0,12,2,2,3,1,49,17,"110,606",187,126
59,y-fm,2016,FC東京,2,0,1,37,55,13.1,14,0.0,58.9,18.05,13.85,67.11,11.14,4,0,626,87.5,13,7.7,14,0,7,18,100.0,27,51.9,14,64.3,24,4,3,2,0,45,7,"109,025",119,107
60,y-fm,2016,鹿島,1,2,2,44,44,12.6,16,12.5,43.4,10.40,6.65,96.03,17.43,4,0,334,68.9,6,50.0,21,2,3,17,88.2,13,46.2,19,78.9,21,2,2,3,0,26,9,"112,602",175,127
61,y-fm,2016,仙台,0,1,0,47,46,11.0,14,7.1,50.7,16.50,13.62,94.54,12.57,3,0,527,81.0,10,20.0,18,2,2,27,96.3,12,75.0,23,65.2,19,4,1,4,0,46,15,"110,327",146,127
